path,category
sorted_images/Métaux/Conserve/1695211508734-image1695211500166.jpg,Métaux/Conserve
sorted_images/Mégots/Mégots/1696997471161-user.jpg,Mégots/Mégots
sorted_images/Métaux/Conserve/1691910326777-image1691910327905.jpg,Métaux/Conserve
sorted_images/Verre/Bouteille en verre/1690471090715-image1690471094631.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Bouteille en plastique/1695561400270-image1695561408153.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1697965871598-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1693416072474-image1693415629282.jpg,Métaux/Canette
sorted_images/Métaux/Conserve/1692016808610-image1692016814199.jpg,Métaux/Conserve
sorted_images/Mégots/< 10 mégots/1694375221515-image1694277455111.jpg,Mégots/< 10 mégots
sorted_images/Métaux/Canette/1697129777403-image1697129792082.jpg,Métaux/Canette
sorted_images/Métaux/Autre déchet métaux/1692253726242-image1692204035456.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Bouteille en plastique/1695281471829-image1695281455867.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1697889792105-image1697889786255.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Emballage plastique/1694605093535-image1694604639292.jpg,Plastique/Emballage plastique
sorted_images/Textile/Corde/1689878135071-image1689878124601.jpg,Textile/Corde
sorted_images/Verre/Bouteille en verre/1694159987465-image1694159962674.jpg,Verre/Bouteille en verre
sorted_images/Papier ou Carton/Emballage bonbon/1694945130481-user.jpg,Papier ou Carton/Emballage bonbon
sorted_images/Plastique/Bouteille en plastique/1689655283310-image1689655288912.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1691820229065-image1691820254448.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1696750088911-image1696750012506.jpg,Métaux/Canette
sorted_images/Plastique/Polystyrène/1693904111629-image1693904089047.jpg,Plastique/Polystyrène
sorted_images/Papier ou Carton/Sac en papier/1690635118028-user.jpg,Papier ou Carton/Sac en papier
sorted_images/Plastique/Emballage plastique/1690614510845-image1690614531015.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1691084110946-image1691084119763.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1693758398838-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1691004646044-image1691004669944.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Bouteille en plastique/1695636156096-user.jpg,Plastique/Bouteille en plastique
sorted_images/Mégots/~ 25 mégots/1697267040404-image1697267036172.jpg,Mégots/~ 25 mégots
sorted_images/Plastique/Emballage plastique/1692776375476-user.jpg,Plastique/Emballage plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1696672036499-user.jpg,Autre déchet papier/carton
sorted_images/Papier ou Carton/Carton/1690310440279-user.jpg,Papier ou Carton/Carton
sorted_images/Verre/Bouteille en verre/1695111637977-image1695111627508.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Sac en plastique/1692518139311-image1692518151683.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Sac en plastique/1697884764373-user.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Bouteille en plastique/1697976473571-image1697976457467.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Autre déchet métaux/1692088790059-image1692088744705.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Bouteille en plastique/1696072311682-image1696072289295.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Emballage plastique/1690043362996-user.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1697836852054-image1697836829839.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Récipient liquide/1697987660389-image1697987680740.jpg,Papier ou Carton/Récipient liquide
sorted_images/Plastique/Emballage plastique/1695198195730-image1695198188728.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1695755366581-image1695755335389.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1693499283466-image1693499237339.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1692211089969-image1692211118295.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1690785230263-image1690785236294.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1694853192892-image1694853152106.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1696174260345-image1696174251842.jpg,Métaux/Canette
sorted_images/Textile/Autre déchet textile/1693995445536-image1693995395660.jpg,Textile/Autre déchet textile
sorted_images/Métaux/Canette/1695035981808-image1695035961545.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1690895106465-user.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1697380927821-user.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1697803776690-image1697803738508.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Emballage plastique/1693486205040-image1693486139698.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Sac en plastique/1690102620021-image1690102621178.jpg,Plastique/Sac en plastique
sorted_images/Métaux/Canette/1692600263578-user.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1697208586509-image1697208564592.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1691306708564-image1691306723288.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Carton/1693845555022-image1693816404761.jpg,Papier ou Carton/Carton
sorted_images/Textile/Masque/1696423689187-image1696423605685.jpg,Textile/Masque
sorted_images/Métaux/Canette/1695388166499-image1695385797989.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1689749540571-image1689749558592.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1692023777636-image1692023632985.jpg,Métaux/Canette
sorted_images/Mégots/< 10 mégots/1690739170274-image1690739154396.jpg,Mégots/< 10 mégots
sorted_images/Métaux/Canette/1692275650931-image1692275660998.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1693730033528-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Ticket/1692278729342-image1692278739820.jpg,Papier ou Carton/Ticket
sorted_images/Verre/Bouteille en verre/1695923925032-image1695922783952.jpg,Verre/Bouteille en verre
sorted_images/Papier ou Carton/Carton/1693673532460-image1693673505108.jpg,Papier ou Carton/Carton
sorted_images/Papier ou Carton/Récipient liquide/1691744060328-image1691744074381.jpg,Papier ou Carton/Récipient liquide
sorted_images/Plastique/Bouteille en plastique/1694871241475-user.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1692973972119-image1692973969524.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1698128423188-image1698128380398.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Sac en plastique/1694505137313-image1694505082749.jpg,Plastique/Sac en plastique
sorted_images/Papier ou Carton/Emballage bonbon/1692686238058-user.jpg,Papier ou Carton/Emballage bonbon
sorted_images/Papier ou Carton/Autre déchet papier/carton/1689889788215-image1689889795174.jpg,Autre déchet papier/carton
sorted_images/Métaux/Autre déchet métaux/1693073365367-image1693070474846.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Emballage plastique/1694955802030-image1694955800711.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Autre déchet métaux/1693756242368-image1693756186098.jpg,Métaux/Autre déchet métaux
sorted_images/Verre/Bouteille en verre/1694854764046-image1694854757102.jpg,Verre/Bouteille en verre
sorted_images/Verre/Bouteille en verre/1697966274835-user.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Autre déchet plastique/1689657909452-image1689657866932.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1690812237519-image1690805123830.jpg,Autre déchet papier/carton
sorted_images/Plastique/Emballage plastique/1691248876599-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Sac en plastique/1697197943515-user.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Bouteille en plastique/1690027165171-image1690027176366.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1693125853530-user.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1690999067630-image1690999078609.jpg,Plastique/Bouteille en plastique
sorted_images/Verre/< 10 morceaux de verre/1691921707797-image1691921734170.jpg,Verre/< 10 morceaux de verre
sorted_images/Plastique/Bouteille en plastique/1696001553904-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1694951967946-image1694951964742.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouchon en plastique/1692809615701-image1692809554833.jpg,Plastique/Bouchon en plastique
sorted_images/Plastique/Emballage plastique/1694969266617-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1694673877165-image1694673837290.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Canette/1696516522446-user.jpg,Métaux/Canette
sorted_images/Mégots/Mégots/1693074001763-image1693074027671.jpg,Mégots/Mégots
sorted_images/Textile/Chaussure/1692944660348-image1692944680083.jpg,Textile/Chaussure
sorted_images/Plastique/Bouteille en plastique/1697211630385-image1697211587747.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouchon en plastique/1695892699834-image1695892688267.jpg,Plastique/Bouchon en plastique
sorted_images/Plastique/Autre déchet plastique/1690823295335-image1690823311472.jpg,Plastique/Autre déchet plastique
sorted_images/Verre/< 10 morceaux de verre/1697096824299-image1697096816135.jpg,Verre/< 10 morceaux de verre
sorted_images/Papier ou Carton/Carton/1694529757157-image1694529706861.jpg,Papier ou Carton/Carton
sorted_images/Métaux/Canette/1694327849802-image1694327806606.jpg,Métaux/Canette
sorted_images/Verre/Bouteille en verre/1692380830871-user.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Autre déchet plastique/1689919055290-user.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1693147978995-image1693147993896.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1692612697813-image1692612724975.jpg,Autre déchet papier/carton
sorted_images/Plastique/Autre déchet plastique/1689957052811-image1689957062581.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1694437415761-image1694437363334.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694437275322-image1694437170731.jpg,Autre déchet papier/carton
sorted_images/Verre/< 10 morceaux de verre/1698245603878-image1698245612141.jpg,Verre/< 10 morceaux de verre
sorted_images/Métaux/Canette/1690479509060-image1690449882495.jpg,Métaux/Canette
sorted_images/Mégots/Mégots/1691346474266-image1691346486530.jpg,Mégots/Mégots
sorted_images/Papier ou Carton/Autre déchet papier/carton/1693664576879-image1693664540365.jpg,Autre déchet papier/carton
sorted_images/Verre/< 10 morceaux de verre/1694165520007-image1694165477680.jpg,Verre/< 10 morceaux de verre
sorted_images/Plastique/Bouteille en plastique/1691397679854-image1691397697176.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1689708774463-user.jpg,Plastique/Bouteille en plastique
sorted_images/Verre/Bouteille en verre/1694433225369-image1694433189142.jpg,Verre/Bouteille en verre
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694870383632-user.jpg,Autre déchet papier/carton
sorted_images/Mégots/Mégots/1689839848814-image1689839816924.jpg,Mégots/Mégots
sorted_images/Verre/Bouteille en verre/1695568392890-image1695568380915.jpg,Verre/Bouteille en verre
sorted_images/Papier ou Carton/Autre déchet papier/carton/1693757979091-image1693757956296.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1692179850095-image1692179857686.jpg,Métaux/Canette
sorted_images/Métaux/Autre déchet métaux/1693673863950-image1693673826399.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Bouteille en plastique/1696222128753-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Sac en plastique/1692006192238-user.jpg,Plastique/Sac en plastique
sorted_images/Métaux/Canette/1691996362775-image1691996373464.jpg,Métaux/Canette
sorted_images/Plastique/Sac en plastique/1693760278137-user.jpg,Plastique/Sac en plastique
sorted_images/Verre/Bouteille en verre/1697301187974-image1697301187634.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Emballage plastique/1689965631609-user.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Sac en plastique/1695887182893-image1695887166701.jpg,Plastique/Sac en plastique
sorted_images/Papier ou Carton/Ticket/1694857898686-user.jpg,Papier ou Carton/Ticket
sorted_images/Plastique/Bouteille en plastique/1690029341445-image1690029355256.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1690359453024-user.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1691398366071-user.jpg,Métaux/Canette
sorted_images/Mégots/Mégots/1695121763016-image1695121749737.jpg,Mégots/Mégots
sorted_images/Métaux/Canette/1692261163908-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1697730303992-image1697730296543.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1690606717855-image1690606733315.jpg,Plastique/Emballage plastique
sorted_images/Textile/Vêtement/1695986558958-user.jpg,Textile/Vêtement
sorted_images/Textile/Autre déchet textile/1697987692618-user.jpg,Textile/Autre déchet textile
sorted_images/Plastique/Bouchon en plastique/1692520774839-image1692520577630.jpg,Plastique/Bouchon en plastique
sorted_images/Papier ou Carton/Sac en papier/1690562055892-user.jpg,Papier ou Carton/Sac en papier
sorted_images/Verre/Bouteille en verre/1695910719552-image1695910720976.jpg,Verre/Bouteille en verre
sorted_images/Verre/Bouteille en verre/1692896568623-user.jpg,Verre/Bouteille en verre
sorted_images/Métaux/Cartouche chasse/1696430467752-image1696430460494.jpg,Métaux/Cartouche chasse
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694157010669-user.jpg,Autre déchet papier/carton
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694606627923-image1694606123180.jpg,Autre déchet papier/carton
sorted_images/Métaux/Materiel informatique/1691752424103-image1691752373719.jpg,Métaux/Materiel informatique
sorted_images/Plastique/Bouteille en plastique/1692170136701-image1692170153462.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1696852441531-image1696851920783.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1694413137705-user.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1690699326345-image1690699317385.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Autre déchet plastique/1698047835695-image1698047832008.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1690220402342-image1690220263574.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Autre déchet métaux/1690012161379-image1690012173158.jpg,Métaux/Autre déchet métaux
sorted_images/Mégots/Mégots/1691488818553-image1691488837258.jpg,Mégots/Mégots
sorted_images/Mégots/Mégots/1692622531501-user.jpg,Mégots/Mégots
sorted_images/Plastique/Autre déchet plastique/1697452609777-image1697452626390.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Ticket/1689792407385-user.jpg,Papier ou Carton/Ticket
sorted_images/Métaux/Autre déchet métaux/1696432570262-image1696432565895.jpg,Métaux/Autre déchet métaux
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694420304298-image1694420180479.jpg,Autre déchet papier/carton
sorted_images/Papier ou Carton/Carton/1689771093157-image1689771085465.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Emballage plastique/1696327234539-image1695911206978.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1692036228957-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1692606104731-user.jpg,Métaux/Canette
sorted_images/Plastique/Autre déchet plastique/1692680638045-image1692680662162.jpg,Plastique/Autre déchet plastique
sorted_images/Mégots/Mégots/1695017889545-image1695017863476.jpg,Mégots/Mégots
sorted_images/Verre/Bouteille en verre/1696748250441-image1696748224425.jpg,Verre/Bouteille en verre
sorted_images/Papier ou Carton/Journaux/1692370668775-image1692370639230.jpg,Papier ou Carton/Journaux
sorted_images/Papier ou Carton/Emballage bonbon/1692774977674-user.jpg,Papier ou Carton/Emballage bonbon
sorted_images/Textile/Masque/1697463274844-image1697463269715.jpg,Textile/Masque
sorted_images/Plastique/Gobelet en plastique/1689966600232-user.jpg,Plastique/Gobelet en plastique
sorted_images/Métaux/Canette/1692114879044-image1692114786304.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Emballage bonbon/1694943811290-user.jpg,Papier ou Carton/Emballage bonbon
sorted_images/Plastique/Briquet/1695539945493-image1695489344431.jpg,Plastique/Briquet
sorted_images/Verre/Autre déchet verre/1693824485471-image1693824443407.jpg,Verre/Autre déchet verre
sorted_images/Plastique/Emballage plastique/1692002610157-image1692002637456.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1697037838684-image1697037832756.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1697875877868-user.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Autre déchet métaux/1692647964905-image1692647978399.jpg,Métaux/Autre déchet métaux
sorted_images/Métaux/Canette/1691489319017-user.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1690814626566-image1690814583748.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1697987604867-user.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1690037644414-user.jpg,Métaux/Canette
sorted_images/Mégots/Mégots/1690099822850-user.jpg,Mégots/Mégots
sorted_images/Métaux/Autre déchet métaux/1691072807853-user.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Polystyrène/1689781721732-image1689781710696.jpg,Plastique/Polystyrène
sorted_images/Métaux/Canette/1695463336198-image1695463318431.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Carton/1695763115909-user.jpg,Papier ou Carton/Carton
sorted_images/Métaux/Autre déchet métaux/1690871676853-image1690871695912.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Autre déchet plastique/1697809447648-image1697809435953.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Autre déchet métaux/1690546051350-image1690546064042.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Autre déchet plastique/1694847824170-image1694847772513.jpg,Plastique/Autre déchet plastique
sorted_images/Verre/Bouteille en verre/1696761566141-image1696761561519.jpg,Verre/Bouteille en verre
sorted_images/Métaux/Canette/1697719620443-image1697719621348.jpg,Métaux/Canette
sorted_images/Plastique/Bouchon en plastique/1696265712497-user.jpg,Plastique/Bouchon en plastique
sorted_images/Papier ou Carton/Carton/1691224527039-image1691224545812.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Emballage plastique/1695567623917-image1695567616760.jpg,Plastique/Emballage plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694880255572-image1694880198249.jpg,Autre déchet papier/carton
sorted_images/Plastique/Bouteille en plastique/1694612024452-user.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1697129764617-image1697129715129.jpg,Métaux/Canette
sorted_images/Métaux/Canette/1695906257175-user.jpg,Métaux/Canette
sorted_images/Plastique/Sac en plastique/1692170547485-user.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Sac en plastique/1691097933391-user.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Autre déchet plastique/1691222666782-image1691222683366.jpg,Plastique/Autre déchet plastique
sorted_images/Mégots/~ 200 mégots/1691427751102-image1691427710678.jpg,Mégots/~ 200 mégots
sorted_images/Papier ou Carton/Ticket/1692040938350-user.jpg,Papier ou Carton/Ticket
sorted_images/Plastique/Sac en plastique/1692003904012-image1692003141346.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Autre déchet plastique/1692467105430-user.jpg,Plastique/Autre déchet plastique
sorted_images/Mégots/< 10 mégots/1694675386581-image1694675367911.jpg,Mégots/< 10 mégots
sorted_images/Plastique/Bouteille en plastique/1693814783265-image1693814732278.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1696888910039-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Emballage plastique/1689700996477-image1689700955791.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1694971818409-image1694971709311.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1697211943218-image1697211954250.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Autre déchet métaux/1690709982393-image1690709989281.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Sac en plastique/1692173043687-image1692173062497.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Bouteille en plastique/1691337407770-user.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Carton/1695896067144-user.jpg,Papier ou Carton/Carton
sorted_images/Plastique/Sac en plastique/1691918440166-user.jpg,Plastique/Sac en plastique
sorted_images/Plastique/Bouteille en plastique/1690012985804-user.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Capsule/1697356065393-image1697356036869.jpg,Plastique/Capsule
sorted_images/Mégots/< 10 mégots/1697021845842-image1697021855956.jpg,Mégots/< 10 mégots
sorted_images/Métaux/Canette/1696774710247-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Carton/1691314705550-user.jpg,Papier ou Carton/Carton
sorted_images/Métaux/Canette/1696406283017-image1696406295358.jpg,Métaux/Canette
sorted_images/Mégots/< 10 mégots/1693131503305-image1693131527606.jpg,Mégots/< 10 mégots
sorted_images/Plastique/Bouteille en plastique/1692438409813-image1692438414746.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1692544752942-user.jpg,Autre déchet papier/carton
sorted_images/Métaux/Canette/1692106666954-user.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694164543590-image1694164472378.jpg,Autre déchet papier/carton
sorted_images/Métaux/Autre déchet métaux/1689682089029-image1689669013316.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Emballage plastique/1691656996893-image1691657010135.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1697907950537-image1697907970529.jpg,Plastique/Autre déchet plastique
sorted_images/Métaux/Canette/1689935662467-image1689935416791.jpg,Métaux/Canette
sorted_images/Plastique/Bouteille en plastique/1690739393092-image1690739388771.jpg,Plastique/Bouteille en plastique
sorted_images/Plastique/Bouteille en plastique/1690014657264-image1690014663178.jpg,Plastique/Bouteille en plastique
sorted_images/Métaux/Canette/1691652594218-user.jpg,Métaux/Canette
sorted_images/Plastique/Emballage plastique/1690723366423-image1690723305947.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1694338963976-image1694338891550.jpg,Métaux/Canette
sorted_images/Textile/Autre déchet textile/1696540425294-image1696540373401.jpg,Textile/Autre déchet textile
sorted_images/Plastique/Autre déchet plastique/1695391966742-user.jpg,Plastique/Autre déchet plastique
sorted_images/Textile/Autre déchet textile/1697642193195-image1697642198156.jpg,Textile/Autre déchet textile
sorted_images/Verre/Bouteille en verre/1695990578813-image1695990560168.jpg,Verre/Bouteille en verre
sorted_images/Plastique/Autre déchet plastique/1698310459623-image1698310460194.jpg,Plastique/Autre déchet plastique
sorted_images/Verre/Autre déchet verre/1694365995329-image1694365947101.jpg,Verre/Autre déchet verre
sorted_images/Verre/Bouteille en verre/1690463404117-image1690463431335.jpg,Verre/Bouteille en verre
sorted_images/Verre/Bouteille en verre/1696395627251-user.jpg,Verre/Bouteille en verre
sorted_images/Métaux/Canette/1696319253618-image1696319234158.jpg,Métaux/Canette
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694437102783-image1694437048919.jpg,Autre déchet papier/carton
sorted_images/Papier ou Carton/Sac en papier/1693044169302-image1693044195903.jpg,Papier ou Carton/Sac en papier
sorted_images/Métaux/Autre déchet métaux/1696522664762-image1696522622620.jpg,Métaux/Autre déchet métaux
sorted_images/Métaux/Autre déchet métaux/1692524406404-image1692524429879.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Bouteille en plastique/1697972403367-user.jpg,Plastique/Bouteille en plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1696407429361-user.jpg,Autre déchet papier/carton
sorted_images/Plastique/Autre déchet plastique/1695630157749-image1695630133475.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Autre déchet plastique/1695731103122-image1695731090162.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694427067516-image1694427019646.jpg,Autre déchet papier/carton
sorted_images/Verre/< 10 morceaux de verre/1694355894764-image1694355837559.jpg,Verre/< 10 morceaux de verre
sorted_images/Métaux/Autre déchet métaux/1695898307223-image1695898270020.jpg,Métaux/Autre déchet métaux
sorted_images/Métaux/Autre déchet métaux/1692536678323-user.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Emballage plastique/1691163263704-image1691155103933.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1692367281090-image1692367278914.jpg,Métaux/Canette
sorted_images/Verre/Bouteille en verre/1692943454359-image1692943456394.jpg,Verre/Bouteille en verre
sorted_images/Papier ou Carton/Autre déchet papier/carton/1691918346872-user.jpg,Autre déchet papier/carton
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694023527309-image1694023440349.jpg,Autre déchet papier/carton
sorted_images/Plastique/Autre déchet plastique/1691083467200-image1691083494241.jpg,Plastique/Autre déchet plastique
sorted_images/Papier ou Carton/Emballage bonbon/1693815081111-user.jpg,Papier ou Carton/Emballage bonbon
sorted_images/Mégots/Mégots/1689778830993-image1689778809031.jpg,Mégots/Mégots
sorted_images/Verre/Autre déchet verre/1695909892841-image1695909886890.jpg,Verre/Autre déchet verre
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694422782652-image1694422732677.jpg,Autre déchet papier/carton
sorted_images/Mégots/Mégots/1689847689590-user.jpg,Mégots/Mégots
sorted_images/Papier ou Carton/Carton/1691433954272-image1691433971396.jpg,Papier ou Carton/Carton
sorted_images/Métaux/Canette/1693473431690-image1693472948827.jpg,Métaux/Canette
sorted_images/Plastique/Bouchon en plastique/1689877672552-image1689877642951.jpg,Plastique/Bouchon en plastique
sorted_images/Plastique/Sac en plastique/1691583154980-user.jpg,Plastique/Sac en plastique
sorted_images/Papier ou Carton/Emballage bonbon/1694870446620-user.jpg,Papier ou Carton/Emballage bonbon
sorted_images/Mégots/~ 25 mégots/1695709932506-image1695709902740.jpg,Mégots/~ 25 mégots
sorted_images/Plastique/Emballage plastique/1692596036928-image1692596002846.jpg,Plastique/Emballage plastique
sorted_images/Métaux/Canette/1696766117522-user.jpg,Métaux/Canette
sorted_images/Métaux/Autre déchet métaux/1691941057764-image1691941059190.jpg,Métaux/Autre déchet métaux
sorted_images/Papier ou Carton/Autre déchet papier/carton/1694799180337-image1694799173699.jpg,Autre déchet papier/carton
sorted_images/Plastique/Bouteille en plastique/1691919421446-user.jpg,Plastique/Bouteille en plastique
sorted_images/Textile/Corde/1691735539097-image1691735537732.jpg,Textile/Corde
sorted_images/Plastique/Autre déchet plastique/1696353612547-image1696353602513.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Emballage plastique/1698310638259-image1698310638783.jpg,Plastique/Emballage plastique
sorted_images/Plastique/Autre déchet plastique/1697980711544-image1697980703651.jpg,Plastique/Autre déchet plastique
sorted_images/Plastique/Briquet/1697976516679-image1697976535965.jpg,Plastique/Briquet
sorted_images/Plastique/Polystyrène/1690267510882-user.jpg,Plastique/Polystyrène
sorted_images/Métaux/Autre déchet métaux/1698071203200-image1698071185883.jpg,Métaux/Autre déchet métaux
sorted_images/Plastique/Autre déchet plastique/1695747044607-user.jpg,Plastique/Autre déchet plastique
